ch_csv_0,ch_csv_1,ch_csv_2,ch_csv_3,ch_csv_4,ch_csv_5,ch_csv_6,ch_csv_7,ch_csv_8,ch_csv_9,ch_csv_10,ch_csv_11,ch_csv_12,ch_csv_13,ch_csv_14
0.06193069891621461,0.8628469329211945,0.6745779646220413,0.3011192840744641,0.02550096398371593,0.3478521499794053,0.4080187932309838,0.648267900518387,0.7468361905811705,0.45688262885492315,0.2633713060393461,0.3658441421795634,0.45758961153180433,0.09691119948570659,0.5895295458138975
0.8611732526673591,0.29954504703574003,0.3804525847758262,0.6644375168945472,0.07112266686416213,0.9388907194468374,0.5888051990265258,0.3135006976865784,0.18440964327988552,0.5369889906100669,0.28770445153660973,0.0016315017955844668,0.7671354649835147,0.7546366735836918,0.704029955261169
0.5655807151778328,0.11772124506574577,0.545707710134614,0.8090415081472603,0.04959587113391595,0.6550440705388884,0.8598788882908,0.004611951431317429,0.9634745214245306,0.8702887963187265,0.7088060819155373,0.17720671414772238,0.6690048709781099,0.5213707566531488,0.968795231568574
0.1182846852983882,0.6597085604994287,0.7080627663991502,0.08663857296709954,0.6627200795915341,0.541752042932945,0.5788226823445956,0.3662755149223367,0.6269491470337517,0.1439167116394916,0.20507731242622496,0.7862318770390746,0.1495714049000142,0.9763404774736311,0.19081590239180513
0.5629464825192415,0.7701246290011134,0.1228723471666392,0.7640154801014277,0.04732980068270498,0.13245308371177122,0.35859493619635885,0.8058829624487246,0.13263549751897086,0.6290319179610546,0.8843742903255193,0.5526234912565849,0.09381887794169486,0.8376481811559982,0.6198422887999024
0.18912186356215577,0.3308077493333109,0.9094090881276833,0.7971221061630183,0.8617055177370764,0.7317479247118867,0.6849962438435803,0.9421844206510631,0.9603247689889817,0.20783099124066873,0.6665352589436786,0.7809073763192164,0.4949431426672882,0.05340482290334703,0.9331998169452186
0.9813202371408831,0.5132199562346483,0.9338270776940485,0.5934866221732882,0.6962121679165723,0.8961855828235961,0.4171465851303896,0.4214197180300451,0.6139068542948963,0.7951937144304733,0.9051207679967975,0.5207646575021817,0.6159271209385204,0.3740153407001918,0.5618040424623983
0.9844945506976925,0.46392570183051896,0.7968134082214747,0.12056887898710367,0.07635669524564725,0.13622511686268957,0.19514045850077033,0.8268673120281093,0.15070642638989284,0.6894875392187875,0.18169501242296726,0.3676069429370915,0.15424546664922223,0.34510667972301146,0.5783617427586282
0.08426276230699803,0.23103486661850758,0.9245126514099805,0.9884766203270587,0.9163777837848958,0.560843813950314,0.7641645384209562,0.19734185632394807,0.8470745710493819,0.5996261141374533,0.152009803609929,0.23996213952333434,0.5776084934506652,0.8492817226620215,0.409166525154919
0.417819927205785,0.8148193667148177,0.18503055517764533,0.6715534449182917,0.039227569556582464,0.1735933696086457,0.4357460683520322,0.7111048915857765,0.4838137112293127,0.13869072790353554,0.10875717648156136,0.3638237087174335,0.12160074755326988,0.3137677255652639,0.615498523436109
